"Adresse","Inhaltstyp","Status-Code","Status","Indexierbarkeit","Indexierbarkeitsstatus","Titel 1","Länge von Titel 1","Pixelbreite von Titel 1","Meta Description 1","Länge von Meta Description 1","Pixelbreite von Meta Description 1","Meta Keywords 1","Länge der Meta Keywords 1","H1-1","Länge von H1-1","H1-2","Länge von H1-2","H2-1","Länge von H2-1","H2-2","Länge von H2-2","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical-Linkelement 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml-Linkelement","Größe (Bytes)","Übertragen (Bytes)","Wortanzahl","Sätze zählen","Durchschnittliche Wörter pro Satz","Flesch Reading Ease-Punktzahl","Lesbarkeit","Textanteil","Crawltiefe","Folder Depth","Link Score","Inlinks","Einzigartige Inlinks","Einzigartige JS-Inlinks","% von Gesamt","Outlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Externe Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks","Engste Ähnlichkeitsübereinstimmung","Anzahl der Nahduplikate","Rechtschreibfehler","Grammatikfehler","Hash","Antwortzeit","Last Modified","Umleitungs-URL","Umleitungs-Typ","Cookies","HTTP-Version","Antwort-Header: accept-ranges","Antwort-Header: cache-control","Antwort-Header: content-length","Antwort-Header: date","Antwort-Header: etag","Antwort-Header: server","Antwort-Header: strict-transport-security","Antwort-Header: x-powered-by","Antwort-Header: location","Antwort-Header: content-encoding","Antwort-Header: referrer-policy","Antwort-Header: vary","Antwort-Header: x-content-type-options","Antwort-Header: x-frame-options","Antwort-Header: x-xss-protection","Klicks","Impressionen","CTR","Position","Performance Score","First Contentful Paint-Zeit (ms)","Speed Index-Zeit (ms)","Largest Contentful Paint-Zeit (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Größenersparnis insgesamt (Bytes)","Zeitersparnis insgesamt (ms)","Anfragen insgesamt","Gesamtgröße der Seite (Bytes)","HTML-Größe (Bytes)","HTML-Anzahl","Bild-Größe (Bytes)","Bild-Anzahl","CSS-Größe (Bytes)","CSS-Anzahl","JavaScript-Größe (Bytes)","JavaScript-Anzahl","Schriftart-Größe (Bytes)","Schriftart-Anzahl","Medien-Größe (Bytes)","Medien-Anzahl","Andere-Größe (Bytes)","Andere-Anzahl","Drittanbieter-Größe (Bytes)","Drittanbieter-Anzahl","Core Web Vitals-Bewertung","CrUX First Contentful Paint-Zeit (ms)","CrUX First Input Delay-Zeit (ms)","CrUX Largest Contentful Paint-Zeit (ms)","CrUX Cumulative Layout Shift","Ersparnis durch die Eliminierung von Render-Blocking-Ressourcen (ms)","Ersparnis durch späteres Laden nicht sichtbarer Bilder (ms)","Ersparnis durch die effiziente Komprimierung von Bildern (ms)","Ersparnis durch die Speicherung von Bildern in der richtigen Größe (ms)","Ersparnis durch die Minimierung von CSS (ms)","Ersparnis durch die Minimierung von JavaScript (ms)","Reduzieren Sie ungenutzte CSS-Einsparungen (ms)","Reduzieren Sie ungenutzte JavaScript-Einsparungen (ms)","Ersparnis durch die Bereitstellung von Bildern in Next-Gen-Formaten (ms)","Ersparnis durch die Aktivierung der Textkomprimierung (ms)","Ersparnis durch Vorabverbindung zu erforderlichen Quellen (ms)","Server-Reaktionszeiten (TTFB) (ms)","Ersparnis durch Vermeidung mehrfacher Seitenumleitungen (ms)","Ersparnis durch Vorabladung wichtiger Anforderungen (ms)","Ersparnis durch Verwendung von Videoformaten für animierte Inhalte (ms)","Gesamteinsparung bei der Bildoptimierung (ms)","Vermeiden Sie die Bereitstellung von altem JavaScript für moderne Browser-Einsparungen (Bytes)","Bildelemente haben keine explizite Breite und Höhe","Vermeiden Sie große Layoutverschiebungen","Kodierte Adresse der URL","Crawlzeitstempel"
"https://www.seoseb.de/artikel/texte","text/html; charset=UTF-8","200","","Indexierbar","","SEO Artikel und Anleitungen | Seoseb","36","331","Hier findest Du meine Beiträge rund um das Thema SEO","52","342","","","Geschriebenes","13","","0","XPath für SEO nutzen, so geht's - Tools & Tipps","47","Sitemap-Monitoring mit Google Sheets und AppsScript","51","","","","https://www.seoseb.de/artikel/texte","","","","","","7453","2663","107","25","4,280","85,474","Einfach","14,431","2","1","77","9","6","0","75,000","8","7","0","7","7","0","","","","","790e1143bb07089c2b5526cb37c22f2b","0,343","","","","","2.0","","","2663","Sat, 29 Jul 2023 19:27:33 GMT","","nginx","max-age=63072000; max-age=15768000; includeSubDomains","Typemill; PleskLin","","gzip","no-referrer-when-downgrade","Accept-Encoding","nosniff","SAMEORIGIN","1;mode=block","","","","","99","838,000","900,499","1576,000","881,000","0,000","0,058","0","195","7","13479","3134","1","1566","1","4986","2","3124","2","0","0","0","0","669","1","2557","2","","","","","","0","0","0","0","0","0","0","0","0","0","0","195","0","0","0","0","0","1 Ressource gefunden","2 elements found","https://www.seoseb.de/artikel/texte","2023-07-29 21:27:33"
"https://www.seoseb.de/artikel/texte/xpath-fur-seo-ein-einstieg","text/html; charset=UTF-8","200","","Indexierbar","","XPath für SEO nutzen, so geht's - Tools & Tipps | Seoseb","56","498","XPath für SEO - Inhalte extrahieren, Webseiten Elemente prüfen, hier lernst Du alles was Du wissen musst + Sildes von der SEO Campixx","133","829","","","XPath für SEO - ein Einstieg","28","","0","Was ist XPath?","14","XPath für HTML - das SEO-Tool","29","","","","https://www.seoseb.de/artikel/texte/xpath-fur-seo-ein-einstieg","","","","","","33355","10921","2389","466","5,127","63,807","Normal","53,070","1","2","78","29","5","0","62,500","33","6","0","20","15","0","","","","","a3660f330c2548961e49393657dbff75","0,375","","","","","2.0","","","10921","Sat, 29 Jul 2023 19:27:32 GMT","","nginx","max-age=63072000; max-age=15768000; includeSubDomains","Typemill; PleskLin","","gzip","no-referrer-when-downgrade","Accept-Encoding","nosniff","SAMEORIGIN","1;mode=block","11","1258","0,009","33,840","99","996,500","1384,696","1772,500","1053,500","8,500","0,058","0","336","7","21733","11393","1","1566","1","4986","2","3121","2","0","0","0","0","667","1","2552","2","","","","","","0","0","0","0","0","0","0","0","0","0","0","336","0","0","0","0","0","1 Ressource gefunden","1 element found","https://www.seoseb.de/artikel/texte/xpath-fur-seo-ein-einstieg","2023-07-29 21:27:32"
"https://www.seoseb.de/","text/html","200","","Indexierbar","","Seo Consultant Seb Adler aus Berlin | Seoseb","44","401","Seb Adler: SEO-Consultant aus Berlin ► hier findest Du Seosebs miniCV, Skills und SocialMedia-Profile: Xing | LinkedIn | Twitter & Co.","134","801","","","Seoseb","6","","0","SEO Consultant Seb Adler aus Berlin","35","","0","index, follow","","","https://www.seoseb.de/","","","","","","19550","19550","382","123","3,106","70,803","Relativ einfach","13,543","0","0","100","9","7","0","87,500","5","5","0","11","11","0","","","","","502ca322a5fcdd598b42cd70157e29e3","0,175","Wed, 12 Jul 2023 20:44:51 GMT","","","","2.0","bytes","max-age=216000, stale-while-revalidate=120, stale-if-error=1800, public","19550","Sat, 29 Jul 2023 19:27:15 GMT","""64af10c3-4c5e""","nginx","max-age=15768000; includeSubDomains","PleskLin","","","","","","","","7","3239","0,002","49,230","100","1010,000","1010,000","1010,000","1050,000","0,000","0,000","0","0","4","14877","7775","1","4550","1","0","0","1885","1","0","0","0","0","667","1","2552","2","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","https://www.seoseb.de/","2023-07-29 21:27:15"
"https://www.seoseb.de/artikel/texte/sitemap-monitor-mit-google-apps-script-data-studio","text/html; charset=UTF-8","200","","Indexierbar","","Sitemap-Monitoring mit Google Sheets und AppsScript | Seoseb","60","568","Sitemap Monitoring: So prüfst und überwachst Du die URLs in der XML Sitemap für kleine Projekte mit Google Sheets und AppsScript (mit Vorlage).","143","903","","","Sitemap mit Google Sheets und AppsScript monitoren","50","","0","XML-Sitemaps regelmäßig prüfen","30","So geht's: Kopieren und Einrichten","34","","","","https://www.seoseb.de/artikel/texte/sitemap-monitor-mit-google-apps-script-data-studio","","","","","","19527","6907","1303","318","4,097","56,071","Relativ schwer","55,715","3","2","23","9","3","0","37,500","14","6","0","13","11","0","","","","","e27371c88288ec851ed47dcd5e428442","0,375","","","","","2.0","","","6907","Sat, 29 Jul 2023 19:27:34 GMT","","nginx","max-age=63072000; max-age=15768000; includeSubDomains","Typemill; PleskLin","","gzip","no-referrer-when-downgrade","Accept-Encoding","nosniff","SAMEORIGIN","1;mode=block","7","738","0,009","49,200","99","869,000","1092,864","1712,000","869,000","0,000","0,058","0","220","7","17718","7378","1","1566","1","4986","2","3121","2","0","0","0","0","667","1","2552","2","","","","","","0","0","0","0","0","0","0","0","0","0","0","220","0","0","0","0","0","1 Ressource gefunden","1 element found","https://www.seoseb.de/artikel/texte/sitemap-monitor-mit-google-apps-script-data-studio","2023-07-29 21:27:34"
"https://www.seoseb.de/artikel/linksammlung","text/html; charset=UTF-8","200","","Indexierbar","","Linksammlung | Seoseb","21","213","Wissen muss geteilt werden, daher teile ich hier Links, auf die ich selbst immer wieder zurückgreife.","101","603","","","Linksammlung","12","","0","Artikel","7","Medien","6","","","","https://www.seoseb.de/artikel/linksammlung","","","","","","9944","3770","282","57","4,947","62,013","Normal","24,574","2","1","68","8","6","0","75,000","6","5","0","29","29","0","","","","","f6e27270c3212a095b4ae8c19f6432ae","0,481","","","","","2.0","","","3770","Sat, 29 Jul 2023 19:27:34 GMT","","nginx","max-age=63072000; max-age=15768000; includeSubDomains","Typemill; PleskLin","","gzip","no-referrer-when-downgrade","Accept-Encoding","nosniff","SAMEORIGIN","1;mode=block","","","","","100","828,000","945,298","881,000","876,000","1,000","0,058","0","225","7","14582","4241","1","1566","1","4986","2","3122","2","0","0","0","0","667","1","2553","2","","","","","","0","0","0","0","0","0","0","0","0","0","0","225","0","0","0","0","0","1 Ressource gefunden","1 element found","https://www.seoseb.de/artikel/linksammlung","2023-07-29 21:27:34"
"https://www.seoseb.de/artikel/texte/pagespeed-monitoring-mit-der-psi-api","text/html; charset=UTF-8","200","","Indexierbar","","Core Web Vitals mit G-Sheets und Apps Script monitoren | Seoseb","63","588","Hier findest Du eine Anleitung, wie Du einfach und automatisiert die Core Web Vitals für mehrere URLs überwachen und auswerten kannst (inkl. Vorlage).","150","938","","","Pagespeed-Monitoring mit der Pagespeed Insights API","51","","0","Web-Fundstücke","14","Mein Ziel: Google Core Web Vitals tracken","41","","","","https://www.seoseb.de/artikel/texte/pagespeed-monitoring-mit-der-psi-api","","","","","","23151","7858","1360","372","3,656","52,151","Relativ schwer","50,332","3","2","26","11","3","0","37,500","21","7","0","18","17","0","","","","","ab33a4008ff7234e50bbbf0904e0b940","0,437","","","","","2.0","","","7858","Sat, 29 Jul 2023 19:27:33 GMT","","nginx","max-age=63072000; max-age=15768000; includeSubDomains","Typemill; PleskLin","","gzip","no-referrer-when-downgrade","Accept-Encoding","nosniff","SAMEORIGIN","1;mode=block","5","595","0,008","62,480","99","894,000","1146,358","1739,000","934,000","0,000","0,058","84054","396","8","115097","8329","1","97994","2","4986","2","3121","2","0","0","0","0","667","1","2552","2","","","","","","0","0","0","0","0","0","0","0","100","0","0","296","0","0","0","100","0","2 Ressourcen gefunden","1 element found","https://www.seoseb.de/artikel/texte/pagespeed-monitoring-mit-der-psi-api","2023-07-29 21:27:33"
"https://www.seoseb.de/artikel","text/html; charset=iso-8859-1","301","Moved Permanently","Nicht indexierbar","Umgeleitet","","0","0","","0","0","","","","0","","0","","0","","0","","","","","","","","","","302","302","0","","","","","0,000","2","0","","11","6","0","75,000","0","0","0","0","0","0","","","","","","0,159","","https://www.seoseb.de/artikel/","HTTP-Umleitung","","","","","302","Sat, 29 Jul 2023 19:27:33 GMT","","nginx","max-age=15768000; includeSubDomains","PleskLin","https://www.seoseb.de/artikel/","","","","","","","0","30","0,000","20,170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.seoseb.de/artikel","2023-07-29 21:27:33"
"https://www.seoseb.de/artikel/","text/html; charset=UTF-8","200","","Nicht indexierbar","Canonicalised","SEO Artikel und Wissenswertes | Seoseb","38","360","Hier findest Du Artikel, Anleitungen und Links rund um die Arbeit als SEO Consultant | 🔍 schau doch mal rein!","110","660","","","SEO Artikel und Wissenswertes","29","","0","","0","","0","","","","https://www.seoseb.de/artikel","","","","","","6715","2455","61","11","5,545","80,547","Einfach","10,326","1","1","","1","1","0","12,500","5","5","0","7","7","0","","","","","28808bd98fad3bdadc4ed704739ebaef","0,343","","","","","2.0","","","2455","Sat, 29 Jul 2023 19:27:32 GMT","","nginx","max-age=63072000; max-age=15768000; includeSubDomains","Typemill; PleskLin","","gzip","no-referrer-when-downgrade","Accept-Encoding","nosniff","SAMEORIGIN","1;mode=block","0","30","0,000","20,170","88","885,000","1061,977","1755,500","925,500","0,000","0,239","76031","183","8","81749","2926","1","70045","2","4986","2","3123","2","0","0","0","0","669","1","2556","2","","","","","","0","0","0","0","0","0","0","0","0","0","0","183","0","0","0","0","0","2 Ressourcen gefunden","4 elements found","https://www.seoseb.de/artikel/","2023-07-29 21:27:32"
"https://www.seoseb.de/labor/tester.htm","text/html","200","","Indexierbar","","test browsertypes","17","160","","0","0","","","Browser-Info","12","","0","Enabeled Plugins","16","","0","index, follow","","","","","","","","","3654","3654","41","29","1,414","71,278","Relativ einfach","11,275","4","1","1","2","1","0","12,500","0","0","0","0","0","0","","","","","2959d6a95e32c9b6dbbfd9e781a40524","0,036","Wed, 20 Jan 2021 22:40:50 GMT","","","","2.0","bytes","max-age=216000, stale-while-revalidate=120, stale-if-error=1800, public","3654","Sat, 29 Jul 2023 19:27:43 GMT","""6008b172-e46""","nginx","max-age=15768000; includeSubDomains","PleskLin","","","","","","","","0","2","0,000","6,000","56","1544,500","1544,500","40814,500","1544,500","0,000","0,362","14044691","69461","3","8084707","1243","1","8077695","1","5769","1","0","0","0","0","0","0","0","0","5769","1","","","","","","761","0","10200","38550","0","0","0","0","19950","0","0","0","0","0","0","68700","0","1 Ressource gefunden","2 elements found","https://www.seoseb.de/labor/tester.htm","2023-07-29 21:27:43"
